CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
2017-04-03,16:20,MANHATTAN,10016,,,,35                              ,1st ave,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3648777,Van,Station Wagon/Sport Utility Vehicle,,,
2022-05-28,14:00,MANHATTAN,10002,40.711544,-73.994965,"(40.711544, -73.994965)",,,19        MONROE STREET,0.0,0.0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4533149,Station Wagon/Sport Utility Vehicle,Box Truck,,,
2014-06-24,12:45,MANHATTAN,10035,40.7973092,-73.9344544,"(40.7973092, -73.9344544)",EAST 118 STREET                 ,1 AVENUE                        ,,1.0,0.0,0,0,1,0,0,0,Unspecified,Unspecified,,,,356769,PASSENGER VEHICLE,BICYCLE,,,
2019-04-01,8:25,QUEENS,11367,40.73448,-73.82238,"(40.73448, -73.82238)",MELBOURNE AVENUE                ,147 STREET,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4106685,Van,Station Wagon/Sport Utility Vehicle,,,
2024-03-24,8:30,QUEENS,11421,40.689243,-73.84501,"(40.689243, -73.84501)",ATLANTIC AVENUE,98 STREET,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,4712254,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
2014-10-28,8:55,BRONX,10461,40.8454263,-73.8449087,"(40.8454263, -73.8449087)",BLONDELL AVENUE                 ,EASTCHESTER ROAD                ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,2815075,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2018-10-24,14:00,BROOKLYN,11207,40.677494,-73.895325,"(40.677494, -73.895325)",FULTON STREET                   ,VERMONT STREET,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4006734,Sedan,Sedan,,,
2020-01-10,17:35,,,40.83335,-73.93524,"(40.83335, -73.93524)",HARLEM RIVER DRIVE              ,,,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,4272098,Station Wagon/Sport Utility Vehicle,,,,
2013-09-10,14:00,STATEN ISLAND,10310,40.6304653,-74.1069064,"(40.6304653, -74.1069064)",FOREST AVENUE                   ,NORTH MADA AVENUE               ,,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,289245,PASSENGER VEHICLE,,,,
2017-02-18,9:44,BRONX,10463,40.87564,-73.90836,"(40.87564, -73.90836)",WEST 228 STREET                 ,BROADWAY,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3618422,Pick-up Truck,Sedan,,,
2024-01-29,7:00,,,40.76465,-73.823494,"(40.76465, -73.823494)",PARSONS BOULEVARD,,,1.0,0.0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4698608,Station Wagon/Sport Utility Vehicle,,,,
2018-12-06,23:12,QUEENS,11422,40.66652,-73.73645,"(40.66652, -73.73645)",FRANCIS LEWIS BOULEVARD         ,NORTH CONDUIT AVENUE,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4039743,Sedan,Pick-up Truck,,,
2017-09-22,1:15,BROOKLYN,11235,40.579025,-73.94278,"(40.579025, -73.94278)",,,141       JAFFRAY STREET                ,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3755077,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
